asin,product_name,brand_name,product_category,number_of_reviews,review_rating
B01ABXGZTK,Actiontec Wireless N ADSL Modem Router GT784WN-01,,pc,5,3.4
B0073GLGOS,"Audioquest Cinnamon RJ/E (Ethernet) Cable 0.75m (2'5"""")",,pc,11,4.9
B004ZG8N18,"Kicker KB6000 2-Way Full Range Indoor Outdoor Marine Speakers (Pair) | Weatherproof Patio, Sunroom, Garage, Poolside, in-Home | 6.5 inch woofer, 2x5 inch Horn Tweeter | Quick Mounting System | White",,pc,143,4.55
B01LYFKJR7,Samsung 960 EVO Series - 500GB NVMe - M.2 Internal SSD (MZ-V6E500BW),,pc,266,4.73
B01JNGCWHU,Samsung EVO+ 256GB UHS-I microSDXC U3 Memory Card with Adapter (MB-MC256DA/AM),,pc,302,4.4
B0073HDEXS,AudioQuest - RJ/E Vodka Ethernet (1.5m),,pc,7,3.57
B00VXW0J5A,Peerless Round Ceiling Plate Acc 570 - Mounting Component ( Ceiling Plate ) - Cold-rolled Steel - B,,pc,0,0
B01M5FSTXY,Seagate Skyhawk ST6000VX0023 6 TB Internal Hard Drive,,pc,1,5
B018F5AX1M,"Apple iPad Mini 4 128 GB Tablet - 7.9"""" - Retina Display - Wireless LAN - 4G A8 Dual-core (2 Core) 1.50 GHz - Silver",,pc,4,4.75
B072NCV4ZD,Corsair - Vengeance 2-Pack 8GB PC4-19200 DDR4 DIMM Unbuffered Non-ECC Desktop Memory Kit - Black ( CMU16GX4M2A2400C16 ),,pc,2,5
B06X3X3FVL,"HP 15-AY103DX15.6"""" HD Touchscreen Laptop, 7th Gen Intel Kaby Lake Dual Core i5-7200U 2.5Ghz CPU, 8GB DDR4 RAM, 1TB HDD, DVDRW, USB 3.1, HDMI, WIFI, Webcam, Rj-45, Windows 10 Home",,pc,37,3.64
B079B9BF3V,EVGA - NVIDIA GeForce GTX 1080 8GB GDDR5X PCI Express 3.0 Graphics Card - Black/silver,,pc,1,5
B01GM8ZQES,"Lenovo High Performance 11.6-Inch ThinkPad Yoga Convertible IPS Touchscreen Laptop (Intel Celeron Quad-Core Processor, 4GB RAM, 128GB SSD, 802.11AC, Bluetooth, Webcam, HDMI, Windows 10)",,pc,2,3
B00D8GKFUS,"Apple iPad 3 Retina Display Tablet 32GB, Wi-Fi, White (Renewed)",,pc,111,3.34
B00836LXRW,NETGEAR ProSafe GS116 16 Port Gigabit Desktop Switch - switch - 16 ports - desktop (GS116NA) -,,pc,1,5
B010ARSM8Y,WESTERN DIGITAL WD2000F9YZ 3.5 2TB 7200RPM SATA NAS 5 yr factory warranty,,pc,0,0
B073WQ51JQ,"Asus Q534UX 2-in-1 - 15.6"""" 4K Touch - i7-7500U - NVIDIA GTX950M - 16GB - 2TB HDD+512GB SSD",,pc,0,0
B01M8OKROA,"Acer Aspire R 15 R5-571TG-78G8-15.6"""" FHD Touch - 7th Gen i7-7500U - 940MX - 12GB - 1TB",,pc,2,4
B00KWZF2J2,"NETGEAR GS116E-200NAS / NETGEAR ProSafe Plus GS116Ev2 - Switch - unmanaged - 16 x 10/100/1000 - desktop, wall-mountable",,pc,0,0
B0773ZF7Z9,"SteelSeries Arctis 7 Lag-Free Wireless Gaming Headset with DTS Headphone:X 7.1 Surround for PC, PlayStation 4, VR, Mac and Wired for Xbox One, Android and iOS - Black (Renewed)",,pc,66,3.98
B015Z1DYP6,"Lenovo Flex 3 11.6"""" TouchScreen 2-in-1 Laptop PC - Intel Celeron processor N2840 / 4GB DDR3L / 500GB HD / HD Webcam / HDMI / WiFi / Bluetooth 4.0 / Windows 10",,pc,5,2.8
B01NCOOFGO,"HP Envy 34"""" Curved QHDAll-in One Desktop PC (1TB HD/256GB SSD/Ash Silver)",,pc,62,3.96
B01H1BLHYS,Nvidia GeForce GTX 1070 Founders Edition,,pc,38,4.63
B06XFZ7RQN,"Asus ROG Strix GL502VM 15.6inch G-SYNC VR Ready Laptop : Core i7-7700HQ, NVidia GTX 1060, 12GB RAM, 1TB HDD, 15.6inch Full HD GSYNC Display",,pc,1,3
B071RCNXXZ,"HP 15.6"""" HD Touchscreen Laptop Computer PC, 7th Gen Intel Kaby Lake Dual Core i5-7200U 2.5Ghz CPU, 8GB DDR4 RAM, 1TB HDD, DVDRW, USB 3.1, HDMI, WIFI, Webcam, Rj-45, Windows 10 Home",,pc,42,3.11
B00C2AMK2M,"LG Electronics 8X USB 2.0 Super Multi Ultra Slim Portable DVD Rewriter External Drive with M-DISC Support for PC and Mac, Black (GP60NB50)",,pc,1831,4.11
B005HOWN0E,"NETGEAR ProSAFE 16-Port Gigabit Ethernet Switch, GS116",,pc,0,0
B00F0EIKJO,Western Digital 4Tb 5400Rpm 64Mb Sata 6 Gb/S - Wd Caviar Red,,pc,0,0
B0747SKNJL,"SteelSeries Arctis 7 Lag-Free Wireless Gaming Headset with DTS Headphone:X 7.1 Surround for PC, PlayStation 4, VR, Mac and Wired for Xbox One, Android and iOS - Black (Certified Refurbished)",,pc,26,4.3
B00D8GK5F8,"Apple iPad MC707LL/A (64GB, Wi-Fi, Black) 3rd Generation (Renewed)",,pc,156,3.25
B016YJXOHQ,"VIEWSONIC VG939SM 19 INCH 5:4 LED DISPLAY,FULLY ERGONOMIC,1280X1024,20M:1 MEGA DCR",,pc,0,0
B01MAVWLED,"Lenovo - Yoga 710 2-in-1 80V6000PUS 11.6"""" Touch-Screen Laptop - Intel 7th Generation Core i5-7Y54-8GB Memory - 128GB Solid State Drive - Silver",,pc,56,3.64
B016YKDOFW,CORSAIR CMY32GX3M4A1600C9,,pc,0,0
B00AQO19KK,NETGEAR ProSafe GS116 16-port Gigabit Ethernet Switch 16 x 10/100/1000Base-T / GS116NA /,,pc,1,5
B0073HCWO0,"Audioquest Vodka RJ/E (Ethernet) Cable 0.75M (2'6"""")",,pc,9,4
B00H5WI8BY,Visiontek - 8GB DDR3 CL11 1600 Black Label,,pc,0,0
B074T8F5D9,"2017 ASUS VivoBook Max X541SA 15.6?? HD Laptop PC, Intel Quad Core Pentium N3710 Processor up to 2.56 GHz, 4GB RAM, 500GB HDD, Intel HD Graphics, Bluetooth, HDMI, DVD/CD burner, Windows 10 Home",,pc,36,2.72
B00PHA71Y6,"Asus VE278Q 27"""" 1920x1080 2ms 10,000,000:1 LED Backlight wide LCD monitor",,pc,0,0
B0073H05MG,AudioQuest RJ/E Cinnamon Ethernet (1.5m),,pc,16,3.68
B005XMNFWU,Actiontec GT784WN DSL Modem/Wireless Router - No Filters,,pc,2,3
B00HFBNNV0,BUFFALO HD-LX3.0TU3 3TB DriveStation Axis Velocity,,pc,0,0
B00PUEZP6A,Jensen Jta-410-R Portable 3-Speed Stereo Turntable With Built-In Speakers (Red),,pc,0,0
B00IG0JOBW,VISIONTEK 900667 / 8 GB (1 x 8 GB) - DDR3 SDRAM - 1600 MHz DDR3-1600/PC3-12800 - 240-pin / Black Label,,pc,0,0
B00C8JG0YQ,TP-Link TL-WDN4800 Wireless-N900 Dual Band PCI-Express Adapter,,pc,5,3.2
B01GATSH9U,NVIDIA GEFORCE GTX 1080 FOUNDERS EDITION,,pc,15,3.13
B00L1FLSKE,4TB Network NAS HDD SATA,,pc,0,0
B003S68Q0Y,Cooler Master HAF X - Full Tower Computer Case with USB 3.0 Ports and Windowed Side Panel (RC-942-KKN1),,pc,285,4.58
B00SBC130U,sennheiser tv/hifi RS175 digital wireless surround sound headphones,,pc,0,0
B00OY50CZU,The BEST PEERLESS-AV Ceiling Plate W/ Cbl Mgmt,,pc,0,0
B06WGPNGC2,"Dell XPS 13 9365 2-in-1 - 13.3"""" FHD Touch - i7-7Y75 - 16GB Ram - 256GB SSD - Silver",,pc,6,3.16
B06ZY63J8H,"Lenovo Ideapad 100S-14 - 14"""" HD - Intel Celeron N3060 - 2GB Memory - 32GB eMMC - Blue",,pc,18,3.38
B06Y54TK2B,XFX AMD Radeon RX 580 8GB GDDR5 PCI Express 3.0 Graphics Card,,pc,4,3.5
B00NVMNKK6,"Western Digital WD10EZEX WD Blue - Hard drive - 1 TB - internal - 3.5 inch - SATA 6Gb/s - 7200 rpm - buffer: 64 MB - for My Cloud EX2, EX4",,pc,1,4
B009F4E35U,Actiontec Wireless N ADSL Modem Router,,pc,0,0
B00MUHYRTG,Fugoo Tough,,pc,0,0
B005PKPTB0,Wacom pen tablet options Wireless Kit ACK-40401,,pc,64,4.03
B00LP687H6,"Sparepart: Sony SD card - Expert, cl10 UHS-I R94-64GB, SF64UX2 (R94-64GB)",,pc,0,0
B00E7QB8AO,StarTech.com ST121UTPEP VGA to Cat 5 Monitor Extender Kit (250ft/80m) - VGA Cat5 Extender,,pc,0,0
B06ZYB7TZ1,"XFX RX-580P8DFWR GTR Radeon RX 580 8GB XXX Edition 1366 Mhz OC, 1386Mz Boost Overclock Graphics Core GDDR5 White LED Hardswap Replacement Fan Technology with 3 x DP 1 x HDMI 1 x DVI PCI-E Video Card",,pc,12,4.16
B00H288CVW,ASUS PA248Q - PA248Q 24 IPS 1920x1200 LED VGA DVI DP HDMI USB Swivel Pivot Height Adjust Black 3 year Warranty,,pc,1,5
B00KSVXVXO,"Turtle Beach - Ear Force Recon 320 Gaming Headset - Dolby 7.1 Surround Sound - PC, Mobile Devices",,pc,153,3.13
B0088PUEPK,"WD Blue 1TB PC Hard Drive - 7200 RPM Class, SATA 6 Gb/s, 64 MB Cache, 3.5"""" - WD10EZEX",WD,pc,8544,4.5
B017K605ZQ,"WD 3TB My Passport X for Xbox One Portable External Hard Drive, USB 3.0 - WDBCRM0030BBK-NESN",WD,pc,95,4.04
B01AWH05GE,WD 8TB My Cloud EX2 Ultra Network Attached Storage - NAS - WDBVBZ0080JCH-NESN,WD,pc,149,3.59
B01DOL05OC,WD Black 1TB Performance Mobile Hard Disk Drive - 7200 RPM SATA 6 Gb/s 32MB Cache 9.5 MM 2.5 Inch - WD10JPLX,WD,pc,482,4.49
B01H33VQDG,WD Red Pro 8TB 3.5-Inch SATA III 7200rpm 128MB Cache NAS Internal Hard Drive (WD8001FFWX),WD,pc,33,4.45
B076CTK55W,WD 4TB My Cloud Home Personal Cloud Storage - WDBVXC0040HWT-NESN,WD,pc,208,2.68
B00TB8XNEC,WD 24TB  My Cloud EX4100 Expert Series 4-Bay Network Attached Storage - NAS - WDBWZE0240KBK-NESN,WD,pc,26,4.26
B008JJLZ7G,"WD Red 2TB NAS Hard Drive - 5400 RPM Class, SATA 6 Gb/s, 64 MB Cache, 3.5"""" - WD20EFRX",WD,pc,984,4.52
B00CYSYZTS,WD SE 2TB Datacenter Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch - WD2000F9YZ,WD,pc,60,4.6
B00EHBERSE,WD Red 4TB NAS Hard Disk Drive - 5400 RPM Class SATA 6 Gb/s 64MB Cache 3.5 Inch - WD40EFRX,WD,pc,1406,4.38
B00GI2UR6Q,"AOC e970swn 18.5-Inch LED-Lit Monitor, 1366 x768 Resolution, 5ms, 20M:1 DCR, VGA, VESA",AOC,pc,113,4
B00CMKOVMO,AOC e1659Fwu 15.6-Inch Ultra Slim 1366x768 Res 200 cd/m2 Brightness USB 3.0-Powered Portable LED Monitor w/ Case,AOC,pc,1931,3.45
B01MZE8HXN,"MSI WS63 7RK-280US 15.6"""" Professional Workstation Laptop Core i7-7700HQ Quadro P3000 16GB 256GB SSD NVMe + 2TB, Aluminum Black",MSI,pc,2,3.5
B01N7WMKJT,"MSI WE72 7RJ-1032US 17.3"""" Professional Workstation Laptop Core i7-7700HQ Quadro M2200 32GB 512GB SSD, Aluminum Black",MSI,pc,8,4.37
B06XSMW4SC,"MSI GP62MVRX Leopard Pro-661 15.6"""" 94%NTSC Thin and Light Gaming Laptop GTX 1060 3G Core i7-7700HQ 16GB 256GB NVMe SSD + 1TB Full Color Keyboard",MSI,pc,9,3.77
B012ASAWNE,PNY Performance 8GB DDR3 1600MHz (PC3-12800) CL11 Desktop Memory - MD8GSD31600NHS,PNY,pc,11,4.18
B012ASB0WG,PNY Performance 8GB Kit (2x4GB) DDR3 1600MHz (PC3-12800) CL11 Desktop Memory - MD8GK2D31600NHS-Z,PNY,pc,35,4.28
B012ASF1WQ,PNY Anarchy 16GB Kit (2x8GB) DDR4 2400MHz (PC4-19200) CL15 Desktop Memory (Blue) - MD16GK2D4240015AB,PNY,pc,19,3.68
B012DSZKV0,PNY Anarchy 16GB Kit (2x8GB) DDR3 1866MHz (PC3-14900) CL10 Desktop Memory (Blue) - MD16GK2D3186610AB,PNY,pc,18,4.55
B014X4U076,"Asus MG278Q 27"""" WQHD 1440P 144Hz 1ms Eye Care G-Sync Compatible Adaptive Sync Gaming Monitor with Dual HDMI DP DVI",ASUS,pc,124,4.08
B009HNEBLK,"ASUS VS278Q-P 27"""" Full HD 1920x1080 1ms DisplayPort HDMI VGA Monitor",ASUS,pc,856,4.06
B01B9HBP4C,"Acer Aspire E 15, 15.6""""HD, Intel Core i5-6200U, 4GB DDR3L, 1TB HDD, Windows 10, E5-574-53QS",Acer,pc,71,3.8
B01CMYGAGY,"Acer Chromebook 15, 15.6-inch Full HD, Intel Celeron 3205U, 4GB DDR3L, 16GB SSD, Chrome, CB5-571-C4G4",Acer,pc,125,4.16
B01M1NU1SN,"Acer Predator Desktop, Intel Core i7, GeForce GTX 1070, 16GB DDR4, 512GB SSD, 2TB HDD, Win 10, G1-710-70004",Acer,pc,4,4.5
B0043T34RK,"ASUS VE278Q 27"""" Full HD 1920x1080 2ms DisplayPort HDMI DVI VGA Monitor",Asus,pc,583,4.2
B0053T4PHC,Bose Companion 20 Multimedia Speaker System,Bose,pc,537,4.38
B0733VW5QB,Alienware 25 Gaming Monitor - AW2518H,Dell,pc,155,4.27
B01NBX1Q2T,"Dell P2418HT 23.8"""" Touch Monitor - 1920X1080 LED-LIT, Black",Dell,pc,62,4.43
B00VWVZ0V0,Dell USB DVD Drive-DW316,Dell,pc,1408,4.32
B06XVDYHQX,Dell XPS 8920 XPS8920-7529SLV-PUS Tower Desktop (Silver),Dell,pc,20,3.85
B016CYV6AU,Leef iAccess MicroSD Card Reader with Lightning Connector for iOS,LEEF,pc,134,3.26
B00X140B06,Sony 64GB Class 10 UHS-1 SDXC up to 70MB/s Memory Card (SF64UY2/TQ),Sony,pc,258,4.53
B00X140GW4,Sony 64GB High Speed Class 10 UHS-1 Micro SDXC up to 95MB/s Memory Card (SR64UXA/TQ),Sony,pc,44,3.9
B00X1404T4,Sony 32GB Class 10 UHS-1/U3 SDHC up to 94MB/s Memory Card (SF32UX2/TQ)[NEWEST VERSION],Sony,pc,97,4.44
B00X140BEW,Sony 64GB Class 10 UHS-1/U3 SDXC up to 94MB/s Memory Card (SF64UX2/TQ)[NEWEST VERSION],Sony,pc,119,4.67
B00P7TQQZM,"ZAGG Rugged Book Durable Case, Hinged with Detachable Backlit Keyboard for iPad Air 2 - Black",ZAGG,pc,842,3.62
B006TVQU6C,"Antec Gaming Series ONE Mid-Tower PC/Gaming Computer Case with 10 Drive Bays, 120mm Fans x 2 Pre-Installed, 120/140mm Fan Mounts, USB 3.0 x 2, 7 PCI-E Slots, Max CPU Cutout for ATX, M-ATX and Mini-ITX",Antec,pc,150,3.92
B00VU2NHVG,Apple USB-C VGA Multiport Adapter,Apple,pc,69,4.3
B01MQ2MPOF,Apple MNF72LL/A 61W USB-C Power Adapter,Apple,pc,86,3.62
B071WLXMNL,"Apple MacBook Pro (13-inch, Touch Bar, 3.1GHz Intel Core i5 Dual Core, 8GB RAM, 512GB  SSD) Silver (Previous Model)",Apple,pc,11,4.18
B071JNN1YB,"Apple iMac (27 Retina 5K display, 3.5GHz quad-core Intel Core i5, 8GB RAM, 1TB) - Silver (Previous Model)",Apple,pc,19,4.31
B072QGJNVC,"Apple MacBook (12-inch, 1.3GHz dual-core Intel Core i5, 8GB RAM, 512GB SSD) - Rose Gold (Previous Model)",Apple,pc,14,3.92
B072JW4Z9S,"Apple iMac (21.5 Retina 4K display: 3.4GHz quad-core Intel Core i5, 8GB RAM, 1TB Fusion Drive) - Silver  (Previous Model)",Apple,pc,30,4.36
B002P8PZV4,"DENAQ 8-Cell 75Whr/5200mAh Replacement Li-Ion Laptop Battery for HP Pavilion DV7, DV7-1000, DV7-1100, DV8, DV8-1000, HDX, HDX X18, HDX X18-1000; Part: DQ-HSTNN-IB75",Denaq,pc,0,0
B002P9DFRY,"DENAQ 76W, 19.5V, 3.9A, 6.0mm-4.4mm AC Adapter for SONY PCG FX103, FX105, FX108, FX109, FX11, FX120, FX140, FX150, FX170, FX190, FX200, FX201, FX202, FX203, FX205, FX209, FX210, FX215, FX220, FX240, FX250, FX270, FX290, FX300, FX301, FX302, FX310, FX33, FX340, FX370, FX390, FX401, FX403, FX404, FX405, FX501, FX502, FX503, FX505, FX50G, FX55, FX601, FX602, FX604, FX605, FX60G, FX60K, FX701, FX702,",Denaq,pc,0,0
B002P9GP62,"DENAQ 60W, 19V, 3.16A, 5.5mm-2.5mm AC Adapter for TOSHIBA Dynabook(SS425); TOSHIBA Satellite(1000, 1000-S157, 1000-S158, 1000-Z2, 1005, 1005-S157, 1005-S158, 1100, 1100-A210, 1100-DDR, 1100-S101, 1100-S1105, 1105, 1105-1110, 1105-S101, 1200, 1200-S121, 1200-S122, 1200-S252, 1600, 1605, 1620, 1620CDS, 1625, 1640, 1640CDT, 1670, 1670CDS, 1675, 1690, 1690CDT, 1695, 1700, 1710, 1715, 1730, 1730CDT, 17",Denaq,pc,1,4
B002P9KR5W,"DENAQ 75W, 19V, 3.95A, 5.5mm-2.5mm AC Adapter for TOSHIBA Satellite 1100, TOSHIBA Satellite 1105, TOSHIBA Satellite 1110, TOSHIBA Satellite 1115, TOSHIBA Satellite 1130, TOSHIBA Satellite 1135, TOSHIBA Satellite 1900, TOSHIBA Satellite 1905, TOSHIBA Satellite 2430, TOSHIBA Satellite 2435, TOSHIBA Satellite A100, TOSHIBA Satellite A105, TOSHIBA Satellite M40X, TOSHIBA Satellite M60, TOSHIBA Satelli",Denaq,pc,0,0
B002P9DJKM,"DENAQ 120W, 19V, 6.3A, 5.5mm-2.5mm AC Adapter for TOSHIBA SATELLITE A135, TOSHIBA SATELLITE A305D, TOSHIBA SATELLITE A35, TOSHIBA SATELLITE A60, TOSHIBA SATELLITE A65, TOSHIBA SATELLITE A70, TOSHIBA SATELLITE A75, TOSHIBA SATELLITE P10, TOSHIBA SATELLITE P200, TOSHIBA SATELLITE P205, TOSHIBA SATELLITE P205D, TOSHIBA SATELLITE P30, TOSHIBA SATELLITE P35; TOSHIBA SATELLITE PRO A30; Part: DQ-PA3290U-",Denaq,pc,1,5
B00GMPDAAO,"Kanto 2 Channel Powered PC Gaming Desktop Speakers – 3"""" Composite Drivers 3/4"""" Silk Dome Tweeter – Class D Amplifier - 100 Watts - Built-in USB DAC - Subwoofer Output - YU2GB (Gloss Black)",Kanto,pc,18,4.44
B00GMPDAHM,"Kanto 2 Channel Powered PC Gaming Desktop Speakers – 3"""" Composite Drivers 3/4"""" Silk Dome Tweeter – Class D Amplifier - 100 Watts - Built-in USB DAC - Subwoofer Output - YU2MB (Matte Black)",Kanto,pc,37,4.29
B00PK2POOU,Razer Leviathan: Dolby 5.1 Suround Sound - Bluetooth aptX Technology - Dedicated Powerful Subwoofer for Deep Immersive Bass - PC Gaming and Music Sound Bar,Razer,pc,284,3.95
B01NAYL9H2,Razer Blade Pro 17: Gaming Laptop - 4K Touchscreen - ULP Mechanical Keyboard - Intel Quad-Core Overclocked i7-7820HK - NVIDIA GeForce GTX 1080 – DDR4 32GB RAM - 1TB NVMe - Windows 10 - CNC Aluminum,Razer,pc,31,2.64
B01DPS4QQ2,"Razer ManO'War: Wireless 7.1 Surround Sound - 2.4 GHz Wireless Technology - Quick Action Controls - Unidirectional Retractable Mic - Gaming Headset Works with PC, PS4, & Xbox One",Razer,pc,711,3.01
B00J8740YI,Razer BlackShark Over Ear Noise Isolating PC Gaming Headset - Metal Construction and Compatible with PS4,Razer,pc,209,4.1
B01LWOKH7C,"RAZER KRAKEN PRO V2: Lightweight Aluminum Headband - Retractable Mic - In-Line Remote - Gaming Headset Works with PC, PS4, Xbox One, Switch, & Mobile Devices - Black",Razer,pc,142,3.92
B01798WKTY,"Razer Naga Chroma - Ergonomic RGB MMO Gaming Mouse- 12 Programmable Thumb Buttons & 16,000 Adjustible DPI",Razer,pc,951,3.68
B075KMZ4MX,Razer Cynosa Chroma Gaming Keyboard: Customizable Chroma RGB Lighting - Individually Backlit Keys - Spill-Resistant Design - Programmable Macro Functionality,Razer,pc,628,4.07
B01N9SSQ9E,"Razer Blade 14"""" Thin & Light Gaming Laptop - Full HD - Intel Core i7-7700HQ - NVIDIA GeForce GTX 1060 - 16GB RAM - 512GB SSD - Windows 10 - VR Ready - CNC Aluminum",Razer,pc,139,3.47
B00PAZ07GC,Thule Vectors 13” MacBook Pro with Retina Display ONLY Bumper in Black,Thule,pc,210,3.77
B006MRAVFE,Wacom Wireless Accessory Kit for Bamboo and Intuos Tablets (ACK40401),Wacom,pc,1374,4.1
B071FJ4NFF,"Wacom CS610PK Bamboo Sketch, CS-610PK (fine tip Stylus by, Natural Sketching on iPad and iPhone), Black",Wacom,pc,74,3.29
B079HL9YSF,"Wacom CTL4100 Intuos Graphics Drawing Tablet with 3 Bonus Software included, 7.9""""x 6.3"""", Black",Wacom,pc,474,4.09
B01M2TRTNL,"Belkin Thunderbolt 3 Dock w/ 2.6ft Thunderbolt 3 Cable (Thunderbolt Dock for MacBook Pro models  from 2016 or later, includes the 2018 version), Dual 4K @60Hz, 40Gbps Data Transfer Speeds)",Belkin,pc,51,2.86
B00BWHILCY,"Belkin QODE Ultimate Keyboard Case for iPad 2 (2011 model), iPad 3rd Gen and iPad 4th Gen (Black) (F5L149ttBLK)",Belkin,pc,1075,4.03
B077ZGRY9V,"HyperX Cloud Flight - Wireless Gaming Headset, with Long Lasting Battery Up to 30 hours of Use, Detachable Noise Cancelling Microphone, Red LED Light, Bass, Comfortable Memory Foam, PS4, PC, PS4 Pro",HyperX,pc,781,3.94
B0799NH2MP,IOGEAR Wireless HD 1080P HDMI Screen Sharing and Miracast TV Streaming Video Audio Extender,IOGEAR,pc,11,2.72
B0771WSK46,"IOGEAR USB-C 4-in-1 4K Multi-Port Adapter, GUH3C3PD",IOGEAR,pc,0,0
B00BGRML08,Kicker Front Row (12 ZXDSP1) 6-Ch Digital Signal Processor,Kicker,pc,15,4.46
B01MDOH1NO,Lenovo IdeaCentre 510-23ISH F0CD002WUS 23-Inch All-in-One Desktop,Lenovo,pc,0,0
B01N0BZWQP,"Lenovo Yoga Mouse, Silver, Ultra Slim 13.5mm, 180 Degree rotatable Hinge, 2.4G or Bluetooth 4.0 Wireless Connection, Multilayer Adaptive touchpad, Rechargeable Battery, GX30K69568",Lenovo,pc,123,3.73
B01I7TTI3A,"Lenovo Yoga Mouse, Black, Ultra slim 13.5mm, 180 degree rotatable hinge, 2.4G or Bluetooth 4.0 wireless connection, Multilayer adaptive touchpad, Rechargeable battery, GX30K69565",Lenovo,pc,99,3.87
B0195XYZY4,"Lenovo ideacentre F0BV001CUS 20"""" Desktop (Black)",Lenovo,pc,3,4.66
B074MJHTRS,Lenovo Flex 11 Chromebook 11.6-Inch HD IPS Touch Panel (1366x768) MTK 8173c 4GB 32GB Chrome - ZA270025US,Lenovo,pc,76,3.77
B009AEMB6I,Lenovo 45W Computer Charger - Slim Tip AC Adapter (888014197),Lenovo,pc,64,3.68
B00OLU11DA,Buffalo PoE Smart 24 Port Business Switch (BS-GS2024P),Buffalo,pc,4,4.75
B0143UM4TC,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black (CMK16GX4M2B3200C16),Corsair,pc,736,4.57
B0134EW7G8,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),Corsair,pc,1507,4.53
B0085IWXB8,Corsair CMZ16GX3M2A1600C9 Vengeance 16GB (2x8GB) DDR3 1600 MHz (PC3 12800) Desktop Memory 1.5V,Corsair,pc,78,4.66
B01MYDTC2C,CORSAIR iCUE Lighting Node PRO RGB Lighting Controller,Corsair,pc,172,4.16
B06ZXY5XMW,CORSAIR Vengeance RGB 32GB (4x8GB) DDR4 3466MHz C16 Desktop Memory - Black,Corsair,pc,4,4
B01LA0R2X6,"Corsair CO-9050067-WW HD Series, HD120 RGB LED, 120mm High Performance RGB LED PWM Three Fans with Controller",Corsair,pc,164,4.19
B01LA2LB7W,"CORSAIR Crystal 460X RGB Compact Mid-Tower Case, 3 RGB Fans, Tempered Glass - Black",Corsair,pc,207,4.31
B071RYZRJD,CORSAIR VENGEANCE RGB 16GB (2x8GB) DDR4 3200MHz C16 Desktop Memory - Black,Corsair,pc,97,4.56
B0134EW44S,Corsair Vengeance LPX 32GB (2x16GB) DDR4 DRAM 2666MHz (PC4-21300) C16 Memory Kit - Black,Corsair,pc,148,4.46
B01G5I6MSE,"Corsair ML140 Pro LED, White, 140mm Premium Magnetic Levitation Cooling Fan CO-9050046-WW",Corsair,pc,94,4.43
B019MRBKYG,Corsair Memory Kit 16GB DDR4 2400MHz SODIMM Memory (CMSX16GX4M2A2400C16),Corsair,pc,198,4.7
B00A0HZMEM,"CORSAIR AX Series, AX760, 760 Watt, 80+ Platinum Certified, Fully Modular Power Supply",Corsair,pc,132,4.33
B01L3J23L0,"Corsair Gaming Void Surround Gaming Headset, Carbon (CA-9011146-NA)",Corsair,pc,32,3.03
B01HKF3T8C,CORSAIR VENGEANCE LED 16GB (2x8GB) DDR4 3000MHz C15 Desktop Memory - Red LED,Corsair,pc,98,4.33
B019EXSSBG,"CORSAIR Hydro Series H100i v2 AIO Liquid CPU Cooler, 240mm Radiator, Dual 120mm PWM Fans, Advanced RGB Lighting and Fan Software Control",Corsair,pc,1478,3.74
B0748N6796,CORSAIR Void PRO RGB Wireless Gaming Headset - Dolby 7.1 Surround Sound Headphones for PC - Discord Certified - 50mm Drivers - Carbon,Corsair,pc,1438,3.79
B00D6E5JMQ,Corsair CMY32GX3M4A1600C9 Vengeance Pro 32GB (4x8GB) DDR3 1600 MHz (PC3 12800) Desktop 1.5V,Corsair,pc,44,4.65
B01LZ2SET7,CORSAIR MM800 Polaris RGB Mouse Pad - 15 RGB LED Zones - USB Passthrough - High-Performance Mouse Pad Optimized for Gaming Sensors,Corsair,pc,367,4.45
B0196QNBU4,Corsair Vengeance LPX 32GB (2x16GB) DDR4 DRAM 2133MHz (PC4 17000) C13 Memory Kit - Black,Corsair,pc,35,4.51
B00A0HZNDW,"CORSAIR AXi Series, AX860i, 860 Watt, 80+ Platinum Certified, Fully Modular - Digital Power Supply",Corsair,pc,218,3.74
B00D2LGRLK,Corsair CMY16GX3M2A1600C9B Vengeance Pro Series Blue 16GB (2x8GB) DDR3 1600 MHZ (PC3 12800) Desktop Memory 1.5V,Corsair,pc,37,4.7
